,name,x,y
0,Andhra Pradesh,-71.0,-204.0
1,Arunachal Pradesh,278.0,112.0
2,Assam,230.0,70.0
3,Bihar,77.0,56.0
4,Chhattisgarh,-12.0,-46.0
5,Goa,-188.0,-205.0
6,Gujarat,-251.0,-8.0
7,Haryana,-145.0,145.0
8,Himachal Pradesh,-105.0,222.0
9,Jammu and Kashmir,-123.0,291.0
10,Jharkhand,67.0,7.0
11,Karnataka,-135.0,-250.0
12,Kerala,-148.0,-306.0
13,Madhya Pradesh,-99.0,-8.0
14,Maharashtra,-150.0,-99.0
15,Manipur,277.0,25.0
16,Meghalaya,201.0,42.0
17,Mizoram,250.0,-9.0
18,Nagaland,291.0,63.0
19,Odisha,52.0,-75.0
20,Punjab,-155.0,178.0
21,Rajasthan,-210.0,80.0
22,Sikkim,143.0,97.0
23,Tamil Nadu,-92.0,-299.0
24,Telangana,-72.0,-135.0
25,Tripura,205.0,6.0
26,Uttar Pradesh,-33.0,88.0
27,Uttarakhand,-62.0,173.0
28,West Bengal,127.0,-15.0
